sistema_ensino,tipo_escola,uf,nome_escola,codigo_curso,nome_curso,oferta,eixo_tecnologico,modalidade,data_criacao,carga_horaria_toral,modalidade_ensino,status_curso,tipo_oferta,vagas_ofertas,qtd_de_matriculas
Federal,Escolas Técnicas,SP,SENAC LAPA FAUSTOLO,41,PRODUÇÃO DE MODA,Concomitante,Produção Cultural e Design,Educação Presencial,8/19/19 15:15,66,Educação Presencial,Concluído,2,,23
Federal,Escolas de Oferta Outros Cursos,MG,Centro Federal de Educação Tecnológica de Minas Gerais - Uned Araxá,39,Mestrado Profissional em Engenharia de Minas,,,Educação Presencial,8/19/19 15:42,375,Educação Presencial,Ativo,,15,15
Federal,Escolas de Oferta Outros Cursos,MG,Centro Federal de Educação Tecnológica de Minas Gerais - Uned Araxá,39,Mestrado Profissional em Engenharia de Minas,,,Educação Presencial,8/19/19 15:42,375,Educação Presencial,Ativo,,15,15
Federal,Escolas de Oferta Outros Cursos,MG,Centro Federal de Educação Tecnológica de Minas Gerais - Uned Araxá,39,Mestrado Profissional em Engenharia de Minas,,,Educação Presencial,8/19/19 15:42,375,Educação Presencial,Ativo,,15,15
Federal,Escolas Técnicas,SP,SENAC RIBEIRAO PRETO,3839,"APRENDIZAGEM PROFISSIONAL EM COMÉRCIO DE BENS, SERVIÇOS E TURISMO ",Concomitante,Desenvolvimento Educacional e Social,Educação Presencial,8/19/19 16:06,1560,Educação Presencial,Concluído,2,,27
Federal,Escolas Técnicas,SP,SENAC RIBEIRAO PRETO,3839,"APRENDIZAGEM PROFISSIONAL EM COMÉRCIO DE BENS, SERVIÇOS E TURISMO ",Concomitante,Desenvolvimento Educacional e Social,Educação Presencial,8/19/19 16:06,1560,Educação Presencial,Concluído,2,,27
Federal,Escolas Técnicas,SP,SENAC RIBEIRAO PRETO,3839,"APRENDIZAGEM PROFISSIONAL EM COMÉRCIO DE BENS, SERVIÇOS E TURISMO ",Concomitante,Desenvolvimento Educacional e Social,Educação Presencial,8/19/19 16:06,1560,Educação Presencial,Concluído,2,,27
Estadual / Distrital,Escolas Técnicas,ES,CEDTEC ENSINO E SOLUCOES DIDATICAS LTDA - unidade serra,43,Técnico em Mecânica,Concomitante,Controle e Processos Industriais,Educação Presencial,8/19/19 18:58,1200,Educação Presencial,Ativo,2,,23
Federal,Escolas de Oferta Outros Cursos,PE,INSTITUTO FEDERAL DE PERNAMBUCO CAMPUS ABREU E LIMA,27,Técnico em Segurança do Trabalho,Subsequente,Segurança,Educação Presencial,8/19/19 21:13,1600,Educação Presencial,Ativo,3,80,83
Federal,Escolas de Oferta Outros Cursos,SC,Instituto Federal de Santa Catarina - Campus Garopaba,38,Operações Básicas de Hospedagem,,"Turismo, Hospitalidade e Lazer",Educação Presencial,8/19/19 13:51,72,Educação Presencial,Concluído,,40,40
Federal,Escolas de Oferta Outros Cursos,SC,Instituto Federal de Santa Catarina - Campus Garopaba,38,Operações Básicas de Hospedagem,,"Turismo, Hospitalidade e Lazer",Educação Presencial,8/19/19 13:51,72,Educação Presencial,Concluído,,40,40
Federal,Escolas de Oferta Exclusiva FIC,DF,Centro de Educação Profissional Senac  Ações Moveis,37,ASSISTENTE ADMINISTARTIVO,Concomitante,Gestão e Negócios,Educação Presencial,8/19/19 16:18,160,Educação Presencial,Concluído,2,,20
Federal,Escolas de Oferta Exclusiva FIC,DF,Centro de Educação Profissional Senac  Ações Moveis,37,ASSISTENTE ADMINISTARTIVO,Concomitante,Gestão e Negócios,Educação Presencial,8/19/19 16:18,160,Educação Presencial,Concluído,2,,20
Estadual / Distrital,Escolas Técnicas,SP,ETIP CENTRO EDUCACIONAL,23,Técnico em Radiologia,Subsequente,Ambiente e Saúde,Educação Presencial,8/19/19 16:55,1600,Educação Presencial,Ativo,3,,20
